"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
17,"Geelong","Brisbane Lions","Geelong",0.637358293073479,"GMHBA Stadium",12.0321490803607
17,"Sydney","Footscray","Sydney",1,"SCG",51.8476524119406
17,"West Coast","Adelaide","Adelaide",0.497164286569573,"Optus Stadium",-0.445426932158839
17,"Hawthorn","Melbourne","Hawthorn",0.524631731709542,"UTAS Stadium",3.86528305034307
17,"GWS","Fremantle","GWS",0.733610531388904,"Corroboree Group Oval Manuka",25.9385850575269
17,"Gold Coast","Collingwood","Collingwood",0.362638323845799,"People First Stadium",-12.0326648764943
17,"Richmond","Carlton","Carlton",0.333185807749289,"MCG",-16.4652148535958
17,"Essendon","St Kilda","St Kilda",0.349709455546635,"Marvel Stadium",-13.9933759595961
17,"Port Adelaide","North Melbourne","Port Adelaide",0.635119175431157,"Adelaide Oval",11.6904701712349
