"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
11,"Hawthorn","Adelaide","Hawthorn",0.795314343953206,"UTAS Stadium",25.9881246281866
11,"Richmond","Essendon","Essendon",0.486773426742015,"MCG",-3.32324391292955
11,"Fremantle","St Kilda","Fremantle",0.769187262947501,"Optus Stadium",19.6972805376319
11,"North Melbourne","Gold Coast","Gold Coast",0.262664540014567,"Marvel Stadium",-11.8528992897035
11,"Geelong","Sydney","Geelong",0.536555855803669,"GMHBA Stadium",9.16730624257323
11,"Collingwood","West Coast","Collingwood",0.830066736802593,"MCG",34.0775190486883
11,"Port Adelaide","Carlton","Port Adelaide",0.748974857041096,"Adelaide Oval",14.7373449638238
11,"GWS","Brisbane Lions","Brisbane Lions",0.264932693844981,"ENGIE Stadium",-11.2888454260367
11,"Footscray","Melbourne","Footscray",0.526705442300317,"Marvel Stadium",6.70393861813882
