"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
15,"Fremantle","Geelong","Fremantle",0.755641857215862,"Optus Stadium",16.3809151529891
15,"Gold Coast","Hawthorn","Hawthorn",0.495240496469515,"People First Stadium",-1.19614913343808
15,"Adelaide","Melbourne","Adelaide",0.537289442481761,"Adelaide Oval",9.35043767652737
15,"GWS","Carlton","GWS",0.735581114890631,"ENGIE Stadium",11.4166727461389
15,"Collingwood","Port Adelaide","Collingwood",0.521362744203737,"MCG",5.36501362257762
15,"Richmond","North Melbourne","North Melbourne",0.237655421628007,"MCG",-18.0260463139504
15,"St Kilda","Footscray","St Kilda",0.509110547189625,"Marvel Stadium",2.28941763890729
