"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,25,"Port Adelaide","Geelong","Adelaide Oval","SA","Port Adelaide","59.47%",23
2024,25,"Footscray","Hawthorn","MCG","VIC","Footscray","53.88%",10
2024,25,"Sydney","GWS","SCG","NSW","Sydney","51.45%",4
2024,25,"Brisbane Lions","Carlton","Gabba","QLD","Brisbane Lions","60.91%",27
