"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,8,"Adelaide","Port Adelaide","Adelaide Oval","SA","Port Adelaide","56.01%",15
2024,8,"Carlton","Collingwood","MCG","VIC","Carlton","51.17%",3
2024,8,"Sydney","GWS","SCG","NSW","GWS","51.48%",4
2024,8,"St Kilda","North Melbourne","Marvel Stadium","VIC","St Kilda","72.15%",51
2024,8,"Melbourne","Geelong","MCG","VIC","Melbourne","54.35%",11
2024,8,"West Coast","Essendon","Optus Stadium","WA","Essendon","59.87%",24
2024,8,"Richmond","Fremantle","MCG","VIC","Fremantle","55.89%",15
2024,8,"Footscray","Hawthorn","Marvel Stadium","VIC","Footscray","58.70%",22
2024,8,"Brisbane Lions","Gold Coast","Gabba","QLD","Brisbane Lions","60.20%",25
