"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,27,"Sydney","Port Adelaide","SCG","NSW","Port Adelaide","52.50%",6
2024,27,"Geelong","Brisbane Lions","MCG","VIC","Geelong","50.27%",1
