"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,12,"Port Adelaide","Carlton","Adelaide Oval","SA","Carlton","53.55%",9
2024,12,"Collingwood","Footscray","Marvel Stadium","VIC","Collingwood","57.69%",19
2024,12,"Hawthorn","Adelaide","MCG","VIC","Adelaide","61.23%",28
2024,12,"West Coast","St Kilda","Optus Stadium","WA","St Kilda","63.52%",33
2024,12,"Geelong","Richmond","GMHBA Stadium","VIC","Geelong","79.30%",64
2024,12,"Melbourne","Fremantle","TIO Traeger Park","NT","Melbourne","59.49%",24
2024,12,"Gold Coast","Essendon","People First Stadium","QLD","Essendon","52.74%",7
