"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,0,"Sydney","Melbourne","SCG","NSW","Melbourne",0.534,12
2024,0,"Brisbane Lions","Carlton","Gabba","QLD","Brisbane Lions",0.527,10
2024,0,"Gold Coast","Richmond","People First Stadium","QLD","Gold Coast",0.541,15
2024,0,"GWS","Collingwood","ENGIE Stadium","NSW","GWS",0.516,6
