"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,16,"Brisbane Lions","Melbourne","Gabba","QLD","Brisbane Lions","63.55%",33
2024,16,"North Melbourne","Footscray","Marvel Stadium","VIC","Footscray","69.93%",47
2024,16,"Sydney","Fremantle","SCG","NSW","Sydney","55.01%",13
2024,16,"Gold Coast","Collingwood","People First Stadium","QLD","Collingwood","52.32%",6
2024,16,"Adelaide","GWS","Adelaide Oval","SA","GWS","51.64%",4
2024,16,"Geelong","Essendon","MCG","VIC","Geelong","52.55%",6
2024,16,"St Kilda","Port Adelaide","Marvel Stadium","VIC","Port Adelaide","52.71%",7
2024,16,"Richmond","Carlton","MCG","VIC","Carlton","67.92%",43
2024,16,"West Coast","Hawthorn","Optus Stadium","WA","Hawthorn","62.12%",30
