"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,3,"Brisbane Lions","Collingwood","Gabba","QLD","Brisbane Lions","55.63%",14
2024,3,"North Melbourne","Carlton","Marvel Stadium","VIC","Carlton","66.83%",40
2024,3,"Fremantle","Adelaide","Optus Stadium","WA","Adelaide","50.95%",2
2024,3,"Essendon","St Kilda","Marvel Stadium","VIC","St Kilda","53.57%",9
2024,3,"Port Adelaide","Melbourne","Adelaide Oval","SA","Melbourne","50.67%",2
2024,3,"Footscray","West Coast","Marvel Stadium","VIC","Footscray","71.65%",50
2024,3,"Richmond","Sydney","MCG","VIC","Sydney","53.31%",8
2024,3,"Hawthorn","Geelong","MCG","VIC","Geelong","62.39%",30
