"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,21,"Footscray","Melbourne","Marvel Stadium","VIC","Footscray","56.78%",17
2024,21,"West Coast","Gold Coast","Optus Stadium","WA","Gold Coast","61.10%",27
2024,21,"North Melbourne","Richmond","Marvel Stadium","VIC","Richmond","56.46%",16
2024,21,"Geelong","Adelaide","GMHBA Stadium","VIC","Geelong","56.25%",16
2024,21,"Collingwood","Carlton","MCG","VIC","Carlton","51.27%",3
2024,21,"Port Adelaide","Sydney","Adelaide Oval","SA","Port Adelaide","55.15%",13
2024,21,"GWS","Hawthorn","Manuka Oval","ACT","GWS","52.84%",7
2024,21,"Essendon","Fremantle","MCG","VIC","Essendon","51.35%",3
2024,21,"St Kilda","Brisbane Lions","Marvel Stadium","VIC","Brisbane Lions","55.00%",13
