"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,7,"Richmond","Melbourne","MCG","VIC","Melbourne","58.09%",20
2024,7,"Essendon","Collingwood","MCG","VIC","Collingwood","57.20%",18
2024,7,"GWS","Brisbane Lions","Manuka Oval","ACT","Brisbane Lions","55.78%",14
2024,7,"Port Adelaide","St Kilda","Adelaide Oval","SA","Port Adelaide","59.52%",24
2024,7,"North Melbourne","Adelaide","Blundstone Arena","TAS","Adelaide","66.40%",39
2024,7,"Geelong","Carlton","MCG","VIC","Geelong","54.91%",12
2024,7,"Fremantle","Footscray","Optus Stadium","WA","Footscray","53.03%",8
2024,7,"Gold Coast","West Coast","People First Stadium","QLD","Gold Coast","60.93%",27
2024,7,"Hawthorn","Sydney","MCG","VIC","Sydney","57.78%",19
