"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,18,"Collingwood","Geelong","MCG","VIC","Geelong","51.98%",5
2024,18,"Hawthorn","Fremantle","UTAS Stadium","TAS","Fremantle","50.15%",1
2024,18,"Sydney","North Melbourne","SCG","NSW","Sydney","72.16%",51
2024,18,"Footscray","Carlton","Marvel Stadium","VIC","Footscray","50.52%",1
2024,18,"Adelaide","St Kilda","Adelaide Oval","SA","Adelaide","56.84%",17
2024,18,"Melbourne","Essendon","MCG","VIC","Essendon","54.16%",10
2024,18,"Gold Coast","Port Adelaide","People First Stadium","QLD","Gold Coast","50.37%",1
2024,18,"Richmond","GWS","MCG","VIC","GWS","57.07%",18
2024,18,"West Coast","Brisbane Lions","Optus Stadium","WA","Brisbane Lions","68.54%",44
