"Season","Round","Home.team","Away.team","Venue","state","winner_name","winner_prob","winner_margin"
2024,20,"Carlton","Port Adelaide","Marvel Stadium","VIC","Port Adelaide","50.02%",1
2024,20,"North Melbourne","Geelong","Blundstone Arena","TAS","Geelong","64.10%",34
2024,20,"Gold Coast","Brisbane Lions","People First Stadium","QLD","Gold Coast","50.54%",1
2024,20,"St Kilda","Essendon","Marvel Stadium","VIC","Essendon","58.28%",21
2024,20,"Melbourne","GWS","MCG","VIC","Melbourne","53.05%",8
2024,20,"Fremantle","West Coast","Optus Stadium","WA","Fremantle","69.83%",47
2024,20,"Collingwood","Richmond","MCG","VIC","Collingwood","59.50%",24
2024,20,"Sydney","Footscray","SCG","NSW","Sydney","54.63%",12
2024,20,"Adelaide","Hawthorn","Adelaide Oval","SA","Adelaide","53.39%",8
