"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
8,"Collingwood","Hawthorn","Hawthorn",0.393175600919106,"MCG",-13.5167175
8,"Footscray","Fremantle","Footscray",0.581108439924875,"Marvel Stadium",8.520559
8,"Adelaide","Port Adelaide","Adelaide",0.591479353946293,"Adelaide Oval",10.4699075
8,"Essendon","Brisbane Lions","Brisbane Lions",0.21471934879976,"Marvel Stadium",-32.896889
8,"West Coast","Richmond","Richmond",0.423175915877616,"Optus Stadium",-7.653447
8,"Geelong","North Melbourne","Geelong",0.83594133315553,"GMHBA Stadium",37.224163
8,"Carlton","St Kilda","Carlton",0.509656788064249,"Marvel Stadium",1.1206955
8,"Sydney","Melbourne","Sydney",0.758151400144144,"SCG",24.468996
8,"Gold Coast","GWS","Gold Coast",0.77591829120575,"People First Stadium",28.3479685
