"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
12,"St Kilda","Hawthorn","Hawthorn",0.391592024667463,"Marvel Stadium",-4.398437
12,"Carlton","Geelong","Geelong",0.388131598893355,"MCG",-4.892148
12,"Sydney","Richmond","Sydney",0.86041942143747,"SCG",43.636962
12,"Brisbane Lions","Fremantle","Brisbane Lions",0.746272776884205,"Gabba",20.5805725
12,"Footscray","Collingwood","Footscray",0.53228904839369,"Marvel Stadium",5.6744705
12,"Melbourne","GWS","Melbourne",0.522953875975265,"TIO Traeger Park",4.762404
12,"West Coast","Essendon","Essendon",0.488820689556827,"Optus Stadium",-1.8341565
