"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
17,"Geelong","Brisbane Lions","Geelong",0.760764795270308,"GMHBA Stadium",11.7868885
17,"Sydney","Footscray","Footscray",0.099,"SCG",38.0204745
17,"West Coast","Adelaide","Adelaide",0.150467793436787,"Optus Stadium",-11.4056345
17,"Hawthorn","Melbourne","Hawthorn",0.871026144878774,"UTAS Stadium",15.68854
17,"GWS","Fremantle","Fremantle",0.485153070510781,"Corroboree Group Oval Manuka",3.8387985
17,"Gold Coast","Collingwood","Collingwood",0.444867842654648,"People First Stadium",-2.615289
17,"Richmond","Carlton","Carlton",0.111069737602935,"MCG",-26.895032
17,"Essendon","St Kilda","St Kilda",0.15813238238144,"Marvel Stadium",-20.9653455
17,"Port Adelaide","North Melbourne","Port Adelaide",0.831750772025765,"Adelaide Oval",18.4953075
