"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
9,"Gold Coast","Footscray","Footscray",0.478918566,"TIO Stadium",-5.294469755
9,"Port Adelaide","Adelaide","Adelaide",0.494135575,"Adelaide Oval",-1.473807268
9,"Richmond","West Coast","Richmond",0.754507159,"MCG",25.79617617
9,"Geelong","GWS","Geelong",0.710242439,"GMHBA Stadium",15.05035321
9,"North Melbourne","Brisbane Lions","Brisbane Lions",0.16468133,"Ninja Stadium",-43.98874365
10,"Gold Coast","Hawthorn","Hawthorn",0.496462852,"TIO Stadium",-0.888963846
10,"Sydney","Carlton","Sydney",0.534509522,"SCG",8.656208272
10,"Collingwood","Adelaide","Collingwood",0.705999706,"MCG",14.00177186
10,"Port Adelaide","Geelong","Port Adelaide",0.51486405,"Adelaide Oval",3.734385645
10,"GWS","Fremantle","GWS",0.690127697,"ENGIE Stadium",10.05849859
10,"Footscray","Essendon","Footscray",0.754243813,"Marvel Stadium",25.73351654
10,"Richmond","North Melbourne","Richmond",0.539123769,"MCG",9.808136568
10,"Brisbane Lions","Melbourne","Brisbane Lions",0.783713007,"Gabba",32.62608108
10,"West Coast","St Kilda","St Kilda",0.243079674,"Optus Stadium",-26.36952882
11,"Geelong","Footscray","Geelong",0.50324083,"GMHBA Stadium",0.814495336
11,"Essendon","Richmond","Essendon",0.690242478,"MCG",10.08711654
11,"Carlton","GWS","Carlton",0.536755948,"Marvel Stadium",9.217261769
11,"Hawthorn","Brisbane Lions","Hawthorn",0.526759881,"MCG",6.717572317
11,"North Melbourne","Collingwood","Collingwood",0.186100951,"Marvel Stadium",-39.3961072
11,"Fremantle","Port Adelaide","Fremantle",0.507110159,"Optus Stadium",1.786829178
11,"Adelaide","West Coast","Adelaide",0.814189047,"Adelaide Oval",39.4595252
11,"Melbourne","Sydney","Melbourne",0.520676496,"MCG",5.1929166
11,"St Kilda","Gold Coast","St Kilda",0.538130898,"Marvel Stadium",9.560436012
12,"Brisbane Lions","Essendon","Brisbane Lions",0.801082623,"Gabba",36.56146596
12,"Collingwood","Hawthorn","Collingwood",0.502968888,"MCG",0.746152112
12,"Gold Coast","Fremantle","Gold Coast",0.529858509,"People First Stadium",7.493261616
12,"GWS","Richmond","GWS",0.788625127,"ENGIE Stadium",33.74936955
12,"Sydney","Adelaide","Sydney",0.502182449,"SCG",0.548504944
12,"Melbourne","St Kilda","Melbourne",0.715298916,"TIO Traeger Park",16.29654146
12,"West Coast","Geelong","Geelong",0.183403201,"Optus Stadium",-39.98479197
13,"Footscray","Hawthorn","Footscray",0.692537848,"Marvel Stadium",10.65913446
13,"Adelaide","Brisbane Lions","Adelaide",0.501606351,"Adelaide Oval",0.403718391
13,"Richmond","Sydney","Sydney",0.308917648,"MCG",-10.29648004
13,"Geelong","Gold Coast","Geelong",0.725100659,"GMHBA Stadium",18.70022754
13,"GWS","Port Adelaide","GWS",0.523448041,"Corroboree Group Oval Manuka",5.88780718
13,"North Melbourne","West Coast","North Melbourne",0.535106707,"Hands Oval",8.805400878
13,"Carlton","Essendon","Carlton",0.714294356,"MCG",16.04928098
13,"Melbourne","Collingwood","Collingwood",0.304089054,"MCG",-11.49871386
14,"St Kilda","Footscray","Footscray",0.248535865,"Marvel Stadium",-25.07106392
14,"Hawthorn","Adelaide","Hawthorn",0.709373294,"University of Tasmania Stadium",14.83575771
14,"Brisbane Lions","GWS","Brisbane Lions",0.758994827,"Gabba",26.86120663
14,"Essendon","Geelong","Geelong",0.2446342,"MCG",-26.00035527
14,"North Melbourne","Fremantle","Fremantle",0.214163689,"Optus Stadium",-33.11260079
14,"Port Adelaide","Melbourne","Port Adelaide",0.694667569,"Adelaide Oval",11.18937703
14,"West Coast","Carlton","Carlton",0.228008261,"Optus Stadium",-29.91481085
15,"Fremantle","Essendon","Fremantle",0.760505551856175,"Optus Stadium",27.2185467977751
