"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
22,"Hawthorn","Collingwood","Hawthorn",0.509059368890717,"MCG",2.27656036805037
22,"Geelong","Essendon","Geelong",0.851877565110437,"GMHBA Stadium",47.403761779588
22,"Richmond","St Kilda","St Kilda",0.287355053738396,"MCG",-15.6429531383681
22,"Brisbane Lions","Sydney","Brisbane Lions",0.746615500291998,"Gabba",23.9109920059957
22,"Carlton","Gold Coast","Gold Coast",0.491246965593004,"Marvel Stadium",-2.19960025230898
22,"Port Adelaide","Fremantle","Fremantle",0.479008121607798,"Adelaide Oval",-5.27201109223055
22,"GWS","North Melbourne","GWS",0.807411529121361,"Corroboree Group Oval Manuka",37.968941376987
22,"Melbourne","Footscray","Footscray",0.274553512768028,"MCG",-18.7847246860124
22,"West Coast","Adelaide","Adelaide",0.15922415844586,"Optus Stadium",-45.1278091473543
